data_curva,dias_uteis,taxa_252
02/10/2025,167.0,14.85
02/10/2025,168.0,14.85
02/10/2025,169.0,14.85
02/10/2025,172.0,14.84
02/10/2025,180.0,14.83
02/10/2025,181.0,14.83
02/10/2025,195.0,14.82
02/10/2025,196.0,14.82
02/10/2025,210.0,14.8
02/10/2025,214.0,14.8
02/10/2025,223.0,14.77
02/10/2025,225.0,14.76
02/10/2025,231.0,14.74
02/10/2025,239.0,14.72
02/10/2025,242.0,14.72
02/10/2025,258.0,14.67
02/10/2025,260.0,14.66
02/10/2025,270.0,14.64
02/10/2025,271.0,14.64
02/10/2025,272.0,14.64
02/10/2025,286.0,14.59
02/10/2025,294.0,14.57
02/10/2025,300.0,14.56
02/10/2025,301.0,14.55
02/10/2025,302.0,14.55
02/10/2025,305.0,14.55
02/10/2025,314.0,14.51
02/10/2025,319.0,14.5
02/10/2025,330.0,14.46
02/10/2025,333.0,14.46
02/10/2025,334.0,14.45
02/10/2025,348.0,14.41
02/10/2025,349.0,14.4
02/10/2025,355.0,14.39
02/10/2025,361.0,14.37
02/10/2025,363.0,14.36
02/10/2025,364.0,14.36
02/10/2025,377.0,14.32
02/10/2025,390.0,14.28
02/10/2025,393.0,14.26
02/10/2025,410.0,14.22
02/10/2025,412.0,14.21
02/10/2025,413.0,14.21
02/10/2025,420.0,14.19
02/10/2025,424.0,14.19
02/10/2025,425.0,14.18
02/10/2025,440.0,14.14
02/10/2025,442.0,14.13
02/10/2025,452.0,14.11
02/10/2025,454.0,14.1
02/10/2025,459.0,14.1
02/10/2025,470.0,14.06
02/10/2025,480.0,14.04
02/10/2025,484.0,14.03
02/10/2025,501.0,14.0
02/10/2025,503.0,13.99
02/10/2025,510.0,13.97
02/10/2025,512.0,13.97
02/10/2025,543.0,13.91
02/10/2025,545.0,13.9
02/10/2025,546.0,13.9
02/10/2025,559.0,13.87
02/10/2025,571.0,13.85
02/10/2025,592.0,13.8
02/10/2025,600.0,13.78
02/10/2025,622.0,13.74
02/10/2025,630.0,13.72
02/10/2025,637.0,13.71
02/10/2025,662.0,13.67
02/10/2025,669.0,13.66
02/10/2025,683.0,13.64
02/10/2025,685.0,13.64
02/10/2025,690.0,13.63
02/10/2025,713.0,13.6
02/10/2025,720.0,13.59
02/10/2025,729.0,13.58
02/10/2025,741.0,13.57
02/10/2025,750.0,13.55
02/10/2025,775.0,13.52
02/10/2025,781.0,13.51
02/10/2025,804.0,13.48
02/10/2025,810.0,13.47
02/10/2025,823.0,13.46
02/10/2025,840.0,13.44
02/10/2025,866.0,13.42
02/10/2025,872.0,13.42
02/10/2025,895.0,13.4
02/10/2025,900.0,13.4
02/10/2025,914.0,13.39
02/10/2025,930.0,13.39
02/10/2025,956.0,13.39
02/10/2025,960.0,13.38
02/10/2025,991.0,13.38
02/10/2025,1005.0,13.38
02/10/2025,1020.0,13.38
02/10/2025,1048.0,13.38
02/10/2025,1050.0,13.38
02/10/2025,1082.0,13.38
02/10/2025,1096.0,13.38
02/10/2025,1110.0,13.38
02/10/2025,1141.0,13.38
02/10/2025,1170.0,13.37
02/10/2025,1188.0,13.37
02/10/2025,1201.0,13.37
02/10/2025,1232.0,13.38
02/10/2025,1278.0,13.39
02/10/2025,1321.0,13.41
02/10/2025,1369.0,13.43
02/10/2025,1399.0,13.44
02/10/2025,1413.0,13.44
02/10/2025,1440.0,13.45
02/10/2025,1460.0,13.45
02/10/2025,1506.0,13.46
02/10/2025,1553.0,13.47
02/10/2025,1597.0,13.48
02/10/2025,1642.0,13.49
02/10/2025,1686.0,13.51
02/10/2025,1733.0,13.52
02/10/2025,1778.0,13.53
02/10/2025,1800.0,13.53
02/10/2025,1812.0,13.53
02/10/2025,1825.0,13.53
02/10/2025,1873.0,13.55
02/10/2025,1903.0,13.56
02/10/2025,1918.0,13.56
02/10/2025,1964.0,13.58
02/10/2025,1994.0,13.58
02/10/2025,2051.0,13.6
02/10/2025,2143.0,13.62
02/10/2025,2160.0,13.62
02/10/2025,2237.0,13.64
02/10/2025,2283.0,13.65
02/10/2025,2328.0,13.65
02/10/2025,2419.0,13.65
02/10/2025,2510.0,13.66
02/10/2025,2520.0,13.66
02/10/2025,2602.0,13.66
02/10/2025,2650.0,13.66
02/10/2025,2693.0,13.66
02/10/2025,2783.0,13.66
02/10/2025,2874.0,13.65
02/10/2025,2881.0,13.65
02/10/2025,2967.0,13.65
02/10/2025,3014.0,13.65
02/10/2025,3058.0,13.65
02/10/2025,3147.0,13.65
02/10/2025,3239.0,13.64
02/10/2025,3240.0,13.64
02/10/2025,3332.0,13.64
02/10/2025,3379.0,13.64
02/10/2025,3423.0,13.64
02/10/2025,3512.0,13.63
02/10/2025,3602.0,13.62
02/10/2025,3604.0,13.62
02/10/2025,3697.0,13.61
02/10/2025,3744.0,13.61
02/10/2025,3788.0,13.6
02/10/2025,3878.0,13.59
02/10/2025,3960.0,13.58
02/10/2025,3970.0,13.58
02/10/2025,4064.0,13.56
02/10/2025,4110.0,13.56
02/10/2025,4157.0,13.55
02/10/2025,4243.0,13.54
02/10/2025,4320.0,13.53
02/10/2025,4337.0,13.52
02/10/2025,4428.0,13.51
02/10/2025,4477.0,13.5
02/10/2025,4519.0,13.5
02/10/2025,4610.0,13.49
02/10/2025,4680.0,13.48
02/10/2025,4701.0,13.48
02/10/2025,4793.0,13.47
02/10/2025,4841.0,13.47
02/10/2025,4884.0,13.47
02/10/2025,4974.0,13.46
02/10/2025,5040.0,13.46
02/10/2025,5065.0,13.46
02/10/2025,5158.0,13.46
02/10/2025,5205.0,13.46
02/10/2025,5249.0,13.46
02/10/2025,5339.0,13.45
02/10/2025,5401.0,13.45
02/10/2025,5431.0,13.45
02/10/2025,5524.0,13.45
02/10/2025,5580.0,13.45
02/10/2025,5615.0,13.45
02/10/2025,5704.0,13.44
02/10/2025,5796.0,13.44
02/10/2025,5891.0,13.44
02/10/2025,5984.0,13.44
02/10/2025,6069.0,13.44
02/10/2025,6161.0,13.43
02/10/2025,6255.0,13.43
02/10/2025,6346.0,13.43
02/10/2025,6434.0,13.43
02/10/2025,6528.0,13.43
02/10/2025,6619.0,13.43
02/10/2025,6710.0,13.42
02/10/2025,6801.0,13.42
02/10/2025,6892.0,13.42
02/10/2025,6985.0,13.42
02/10/2025,7076.0,13.42
02/10/2025,7165.0,13.42
02/10/2025,7200.0,13.42
02/10/2025,7257.0,13.42
02/10/2025,7441.0,13.41
02/10/2025,7622.0,13.41
02/10/2025,7806.0,13.41
02/10/2025,7987.0,13.41
02/10/2025,8175.0,13.4
02/10/2025,8355.0,13.4
02/10/2025,8537.0,13.4
02/10/2025,8719.0,13.4
02/10/2025,8902.0,13.4
02/10/2025,9000.0,13.4
02/10/2025,9083.0,13.39
02/10/2025,10800.0,13.38
02/10/2025,10819.0,13.38
02/10/2025,12737.0,13.37
02/12/2025,1.0,14.9
02/12/2025,7.0,14.9
